name,dirname,date
Racket1,,2021-01-24 23:55:00
Racket2,,2021-01-27 23:55:01
Racket3,,2021-01-31 23:55:02
Scheme In Scheme (Part 1),,2021-02-03 23:55:03
Scheme In Scheme (Part 2),,2021-02-07 23:55:03
PrologPathFinder,PrologPathFinder,2021-02-10 23:55:04
PrologWordFind,PrologWordFind,2021-02-14 23:55:05
PrologNLP (Part 1),PrologNLP,2021-02-17 23:55:06
PrologNLP (Part 2),PrologNLP,2021-02-21 23:55:06
ErlangListProbs,ErlangListProbs,2021-02-24 23:55:08
ErlangMergeSort,ErlangMergeSort,2021-02-28 23:55:09
Erlang Raft (Part 1),ErlangRaft,2021-03-03 23:55:00
Erlang Raft (Part 2),ErlangRaft,2021-03-07 23:55:00
HaskellHighOrder,HaskellHighOrder,2021-03-11 23:55:00
HaskellADTAndTypeclasses,HaskellADTAndTypeclasses,2021-03-11 23:55:00
HaskellPong,HaskellPong,2021-03-14 23:55:03
HaskellVideoGame (Part 1),HaskellVideoGame,2021-03-17 23:55:04
HaskellVideoGame (Part 1),HaskellVideoGame,2021-03-21 23:55:05
Rust HW 1,,2021-03-24 23:55:06
Rust HW 2,,2021-03-28 23:55:07
Rust Project (Part 1),,2021-03-31 23:55:08
Rust Project (Part 2),,2021-04-04 23:55:09
Final Project Proposal,FinalProject,2021-04-04 23:55:10
Final Project Demo/Code,FinalProject,2021-04-23 23:55:11
Lua Inheritance,LuaInheritance,2021-04-07 23:55:12
Final Project Video,,2021-04-18 23:55:14
